"driver_id","week","transport_type","tenure","deliveries_invoiced","e2e_invoiced","client_price_invoiced","driver_earnings_invoiced","deliveries_not_invoiced","e2e_not_invoiced","distance_to_pu_invoiced","distance_to_do_invoiced","deliveries_succeeded","e2e_succeeded","client_price_succeeded","driver_earnings_succeeded","distance_to_pu_succeeded","distance_to_do_succeeded","performance_deliveries","picking_time","wapu","delivering_time","wado","distance_to_pu","distance_to_do","assigned_hours","online_hours","extra_time","no_laborable_retribuido","no_disponible","assigned_shifts","is_in_area_begin","no_shows","invitations","non_commit","lack_equipment","late_unresponsive","refused_delivery","equipment_failure"
647176,4.0,e_bike,60,26,37526,142.06,0.0,2,1815,29979,35586,24,33140,132.66,0.0,26432,32367,21,8155,4470,9935,9132,24273,29232,30.00,21.64,0.03,0.00,0.00,10,7,3,27,2,,1,1,
647176,5.0,e_bike,60,45,55317,222.44,0.0,2,6917,47555,57924,43,52252,213.74,0.0,44043,55571,38,13845,6985,16287,10470,40819,49270,30.00,29.77,0.29,0.00,0.00,10,9,0,46,2,,,2,
647176,6.0,e_bike,60,40,54364,214.96,0.0,0,0,54143,52356,39,52310,210.61,0.0,51518,51832,38,16020,7043,16807,10971,49866,49764,24.00,24.00,0.40,6.00,0.00,8,8,0,37,0,,,,
647176,7.0,e_bike,60,42,56147,227.25,0.0,0,0,63184,56760,42,56147,227.25,0.0,63184,56760,42,17532,7990,18738,12648,63184,56760,24.00,23.59,0.42,6.00,0.00,8,7,0,39,0,,,,
647176,8.0,e_bike,60,36,50869,180.60999999999999,0.0,1,1252,46231,54177,33,46433,165.96,0.0,39194,50354,32,11119,9149,16161,10074,39149,49228,30.25,29.65,0.02,0.00,0.00,11,6,1,33,1,,1,,
647176,9.0,e_bike,60,46,61949,248.45000000000002,0.0,0,0,55032,59741,46,61949,248.45000000000002,0.0,55032,59741,46,17424,10225,19523,15519,55032,59741,30.00,29.95,0.28,0.00,0.00,10,9,0,43,0,,,,
647176,10.0,e_bike,60,52,71544,266.56,0.0,4,2456,65534,73223,51,70212,260.61,0.0,64935,71501,47,19678,9604,21717,13215,62644,64271,30.00,30.00,0.50,0.00,0.00,10,10,0,55,0,,,,
647263,3.0,bike,60,4,5870,21.35,0.0,0,0,2843,5436,4,5870,21.35,0.0,2843,5436,4,1661,1629,2059,522,2843,5436,15.00,14.80,0.11,0.00,0.00,5,0,0,3,0,,,,
647263,4.0,bike,60,1,1481,6.4,0.0,0,0,175,2856,1,1481,6.4,0.0,175,2856,1,519,38,850,74,175,2856,15.00,14.88,0.00,0.00,0.00,5,0,0,1,0,,,,
647263,8.0,bike,60,2,4282,13.8,0.0,0,0,3495,2754,2,4282,13.8,0.0,3495,2754,1,907,1213,619,177,1744,1566,15.00,13.67,0.00,0.00,0.00,5,0,0,2,0,,,,
647263,9.0,bike,60,1,1951,6.25,0.0,0,0,961,1977,1,1951,6.25,0.0,961,1977,1,766,135,873,177,961,1977,15.00,14.43,0.00,0.00,0.00,5,0,0,1,0,,,,
649155,2.0,e_bike,59,10,18587,66.35,0.0,0,0,19359,17643,9,17356,60.15,0.0,17153,15482,9,6719,1650,6147,3080,17153,15482,6.00,5.88,0.49,0.00,0.00,2,1,0,10,0,,,,
649155,3.0,e_bike,59,18,27952,104.35000000000002,0.0,0,0,27944,20338,17,27273,99.10000000000002,0.0,26443,19951,16,9824,4138,7574,3841,23119,19315,15.00,15.00,0.34,0.00,0.00,5,4,0,16,0,,,,
649155,4.0,e_bike,59,16,21990,106.66,0.0,3,2233,24576,22028,16,21990,106.66,0.0,24576,22028,16,8797,1677,8444,3152,24576,22028,15.00,13.08,0.56,0.00,0.00,5,4,0,19,2,1,,,1
649155,5.0,e_bike,59,9,11643,59.400000000000006,0.0,0,0,10739,13494,8,10430,54.150000000000006,0.0,10257,11612,7,3134,815,3194,2066,9443,11483,15.00,9.00,0.27,0.00,0.00,5,1,2,9,0,,,,
649155,6.0,e_bike,59,14,21454,85.65,0.0,0,0,17985,19145,14,21454,85.65,0.0,17985,19145,14,7784,2764,7289,3618,17985,19145,15.00,11.84,0.47,0.00,0.00,5,3,1,11,0,,,,
649155,7.0,e_bike,59,18,27056,121.92000000000002,0.0,4,10552,25231,27795,16,25451,112.12000000000002,0.0,23281,26346,16,9285,3747,8790,3630,23281,26346,15.00,15.00,1.24,0.00,0.00,5,5,0,15,1,,2,,
649155,8.0,e_bike,59,14,21778,83.7,0.0,0,0,20026,21923,14,21778,83.7,0.0,20026,21923,14,7348,3317,7729,3384,20026,21923,15.00,15.00,0.76,0.00,0.00,5,5,0,14,0,,,,
649155,9.0,e_bike,59,10,15027,56.55,0.0,0,0,18313,14019,9,13840,51.699999999999996,0.0,16836,11875,9,5900,1583,5040,1317,16836,11875,15.00,11.81,0.02,0.00,0.00,5,2,1,9,0,,,,
649155,10.0,e_bike,59,19,27788,114.85000000000001,0.0,0,0,24373,30345,17,25615,106.15000000000002,0.0,21345,27105,17,8222,3006,10017,4370,21345,27105,15.00,14.98,0.62,0.00,0.00,5,5,0,18,0,,,,
