"driver_id","date","shift_duration","abscence"
144250,2024-02-01,3.00000,1.00000000000000000
144250,2024-02-05,6.00000,1.00000000000000000
144250,2024-02-20,6.00000,1.00000000000000000
171353,2024-01-21,7.00000,1.00000000000000000
171353,2024-01-24,7.00000,1.00000000000000000
171353,2024-01-25,7.00000,1.00000000000000000
171353,2024-01-26,6.98333,1.00000000000000000
171353,2024-01-27,7.00000,1.00000000000000000
171353,2024-01-28,7.00000,1.00000000000000000
171353,2024-01-31,7.00000,1.00000000000000000
171353,2024-02-01,7.00000,1.00000000000000000
171353,2024-02-02,6.98333,1.00000000000000000
171353,2024-02-03,7.00000,1.00000000000000000
171353,2024-02-04,7.00000,1.00000000000000000
171353,2024-02-07,7.00000,1.00000000000000000
171353,2024-02-08,7.00000,1.00000000000000000
171353,2024-02-09,6.98333,1.00000000000000000
171353,2024-02-10,7.00000,1.00000000000000000
171353,2024-02-11,7.00000,1.00000000000000000
171353,2024-02-14,7.00000,1.00000000000000000
171353,2024-02-15,7.00000,1.00000000000000000
171353,2024-02-16,6.98333,1.00000000000000000
171353,2024-02-17,7.00000,1.00000000000000000
171353,2024-02-18,7.00000,1.00000000000000000
276993,2024-02-11,6.00000,1.00000000000000000
276993,2024-02-12,6.00000,1.00000000000000000
276993,2024-02-13,6.00000,1.00000000000000000
280920,2024-01-30,6.00000,1.00000000000000000
283943,2024-01-29,6.00000,1.00000000000000000
283943,2024-02-01,6.00000,1.00000000000000000
283943,2024-02-02,6.00000,1.00000000000000000
283943,2024-02-03,6.00000,1.00000000000000000
283943,2024-02-04,6.00000,1.00000000000000000
359415,2024-01-22,6.00000,0.77694444444444444
359415,2024-01-25,6.00000,0.96587962962962962
359415,2024-01-30,6.00000,1.00000000000000000
359415,2024-02-05,6.00000,1.00000000000000000
359415,2024-02-06,6.00000,1.00000000000000000
359415,2024-02-07,6.00000,1.00000000000000000
359415,2024-02-08,6.00000,1.00000000000000000
359415,2024-02-09,6.00000,1.00000000000000000
359415,2024-02-12,6.00000,0.93212962962962962
359415,2024-02-13,6.00000,1.00000000000000000
359415,2024-02-14,6.00000,1.00000000000000000
359415,2024-02-16,6.00000,1.00000000000000000
364173,2024-01-26,6.00000,1.00000000000000000
364173,2024-02-10,6.00000,1.00000000000000000
377316,2024-01-22,6.00000,1.00000000000000000
377316,2024-01-31,6.00000,1.00000000000000000
377316,2024-02-01,6.00000,1.00000000000000000
377316,2024-02-02,6.00000,1.00000000000000000
377316,2024-02-08,6.00000,1.00000000000000000
377316,2024-02-15,6.00000,1.00000000000000000
405143,2024-02-01,3.00000,1.00000000000000000
405143,2024-02-02,2.00000,1.00000000000000000
423205,2024-01-21,6.00000,1.00000000000000000
423205,2024-01-22,6.00000,1.00000000000000000
423205,2024-01-23,6.00000,1.00000000000000000
423205,2024-02-09,6.00000,1.00000000000000000
423205,2024-02-10,3.00000,1.00000000000000000
423205,2024-02-11,6.00000,1.00000000000000000
430554,2024-01-21,6.00000,1.00000000000000000
430554,2024-02-16,6.00000,1.00000000000000000
430554,2024-02-17,6.00000,1.00000000000000000
430554,2024-02-18,6.00000,1.00000000000000000
438598,2024-02-04,6.00000,1.00000000000000000
438598,2024-02-16,6.00000,1.00000000000000000
440939,2024-01-23,3.00000,0.71166666666666666
440939,2024-01-30,3.00000,1.00000000000000000
440939,2024-02-11,3.00000,1.00000000000000000
440939,2024-02-16,3.00000,1.00000000000000000
445612,2024-01-21,6.00000,1.00000000000000000
457602,2024-02-08,6.00000,1.00000000000000000
457602,2024-02-09,6.00000,1.00000000000000000
457602,2024-02-10,6.00000,1.00000000000000000
457602,2024-02-11,6.00000,1.00000000000000000
457602,2024-02-12,6.00000,1.00000000000000000
457602,2024-02-14,13.50000,0.87520576131687242
457602,2024-02-17,3.00000,1.00000000000000000
457604,2024-02-19,3.00000,1.00000000000000000
465128,2024-02-01,3.00000,1.00000000000000000
465128,2024-02-08,3.00000,1.00000000000000000
465128,2024-02-11,3.00000,1.00000000000000000
471946,2024-01-21,6.00000,1.00000000000000000
471946,2024-01-25,3.00000,1.00000000000000000
471946,2024-01-26,3.00000,1.00000000000000000
471946,2024-01-27,3.00000,1.00000000000000000
471946,2024-01-28,6.00000,1.00000000000000000
471946,2024-02-01,3.00000,1.00000000000000000
471946,2024-02-02,3.00000,1.00000000000000000
471946,2024-02-03,3.00000,1.00000000000000000
471946,2024-02-04,6.00000,1.00000000000000000
471946,2024-02-08,3.00000,1.00000000000000000
471946,2024-02-09,3.00000,1.00000000000000000
471946,2024-02-10,3.00000,1.00000000000000000
471946,2024-02-11,6.00000,1.00000000000000000
471946,2024-02-15,3.00000,1.00000000000000000
471946,2024-02-16,3.00000,1.00000000000000000
471946,2024-02-17,3.00000,1.00000000000000000
471946,2024-02-18,6.00000,1.00000000000000000
472059,2024-02-09,6.00000,0.87587962962962962
472492,2024-02-01,6.00000,1.00000000000000000
472492,2024-02-02,6.00000,1.00000000000000000
472492,2024-02-03,6.00000,1.00000000000000000
476505,2024-02-08,3.00000,0.77685185185185185
476529,2024-01-21,6.00000,1.00000000000000000
476529,2024-01-31,3.00000,1.00000000000000000
480283,2024-01-21,3.00000,1.00000000000000000
480283,2024-01-24,3.00000,1.00000000000000000
480283,2024-01-25,3.00000,1.00000000000000000
480283,2024-01-26,3.00000,1.00000000000000000
480283,2024-02-09,3.00000,1.00000000000000000
480526,2024-02-05,6.00000,1.00000000000000000
480526,2024-02-06,6.00000,1.00000000000000000
480526,2024-02-09,6.00000,1.00000000000000000
