"driver_id","delivery_id","zone_name","date","del_cancelation_reason","del_accepted_at","del_canceled_at"
359415,308870984,Madrid,2024-02-01,Late / Unresponsive,2024-02-01 09:18:08.905,2024-02-01 09:32:45.51
359415,308865827,Madrid,2024-02-01,Late / Unresponsive,2024-02-01 11:03:09.52,2024-02-01 11:18:52.882
359415,308865828,Madrid,2024-02-01,Late / Unresponsive,2024-02-01 11:03:09.52,2024-02-01 11:18:52.894
359415,310421211,Madrid,2024-02-15,Equipment failure,2024-02-15 09:22:54.052,2024-02-15 09:27:33.006
359415,310538111,Madrid,2024-02-15,Late / Unresponsive,2024-02-15 10:25:33.853,2024-02-15 10:37:57.396
359415,311007678,Madrid,2024-02-19,Equipment failure,2024-02-19 13:16:41.11,2024-02-19 13:26:58.149
359415,313232958,Madrid,2024-03-12,Late / Unresponsive,2024-03-12 08:00:03.638,2024-03-12 08:17:19.754
359781,307013293,Madrid,2024-01-16,Late / Unresponsive,2024-01-16 13:15:47.234,2024-01-16 13:32:08.078
359781,307076381,Madrid,2024-01-16,Late / Unresponsive,2024-01-16 13:32:26.826,2024-01-16 13:46:37.043
359781,308094997,Madrid,2024-01-25,Late / Unresponsive,2024-01-25 14:14:40.659,2024-01-25 14:34:08.545
359781,310786566,Madrid,2024-02-17,Late / Unresponsive,2024-02-17 13:17:37.901,2024-02-17 13:25:26.23
359781,311350722,Madrid,2024-02-22,Late / Unresponsive,2024-02-22 21:50:18.977,2024-02-22 22:05:59.16
359781,311927463,Madrid,2024-02-28,Late / Unresponsive,2024-02-28 13:14:36.591,2024-02-28 13:27:04.754
359781,312723837,Madrid,2024-03-06,Late / Unresponsive,2024-03-06 20:13:23.859,2024-03-06 20:29:45.25
359781,313508987,Madrid,2024-03-14,Late / Unresponsive,2024-03-14 20:12:47.274,2024-03-14 20:27:43.691
364173,308595230,Madrid,2024-01-29,Refused delivery,2024-01-29 14:41:39.957,2024-01-29 14:58:00.73
364173,311481206,Madrid,2024-02-23,Refused delivery,2024-02-23 22:16:41.277,2024-02-23 22:37:35.761
364173,311528421,Madrid,2024-02-24,Refused delivery,2024-02-24 14:20:22.901,2024-02-24 14:36:11.564
364173,311528202,Madrid,2024-02-24,Refused delivery,2024-02-24 14:20:22.901,2024-02-24 14:36:11.576
364173,311658219,Madrid,2024-02-25,Refused delivery,2024-02-25 15:56:39.623,2024-02-25 16:03:24.982
364173,311902130,Madrid,2024-02-27,Refused delivery,2024-02-27 23:26:55.763,2024-02-27 23:31:16.641
370425,307423644,Madrid,2024-01-19,Refused delivery,2024-01-19 16:49:05.213,2024-01-19 16:54:56.156
370425,307429445,Madrid,2024-01-19,Equipment failure,2024-01-19 16:55:11.809,2024-01-19 16:55:43.425
370425,309868345,Madrid,2024-02-09,Late / Unresponsive,2024-02-09 16:57:05.897,2024-02-09 17:21:04.992
370425,311866197,Madrid,2024-02-27,Late / Unresponsive,2024-02-27 18:24:56.015,2024-02-27 18:38:50.711
377316,307046521,Madrid,2024-01-18,Refused delivery,2024-01-18 10:06:49.723,2024-01-18 10:10:30.603
377316,307964729,Madrid,2024-01-24,Equipment failure,2024-01-24 09:17:58.369,2024-01-24 09:27:34.34
377316,307989477,Madrid,2024-01-24,Refused delivery,2024-01-24 13:16:19.461,2024-01-24 13:24:58.861
377316,308087880,Madrid,2024-01-25,Refused delivery,2024-01-25 13:20:20.53,2024-01-25 13:26:54.109
377316,309461099,Madrid,2024-02-06,Equipment failure,2024-02-06 07:33:17.609,2024-02-06 07:37:42.901
377316,309461100,Madrid,2024-02-06,Equipment failure,2024-02-06 07:33:17.609,2024-02-06 07:37:42.91
377316,309491177,Madrid,2024-02-06,Equipment failure,2024-02-06 13:09:00.586,2024-02-06 13:18:17.614
377316,311000055,Madrid,2024-02-19,Refused delivery,2024-02-19 12:02:24.168,2024-02-19 12:09:53.496
377316,311099491,Madrid,2024-02-21,Lack mandatory equipment,2024-02-21 08:18:14.12,2024-02-21 08:23:46.803
377316,311267742,Madrid,2024-02-22,Equipment failure,2024-02-22 11:50:58.709,2024-02-22 12:01:07.217
377316,311744561,Madrid,2024-02-26,Equipment failure,2024-02-26 13:02:53.752,2024-02-26 13:13:25.524
377316,311745251,Madrid,2024-02-26,Equipment failure,2024-02-26 13:13:34.314,2024-02-26 13:18:13.85
377316,311745252,Madrid,2024-02-26,Equipment failure,2024-02-26 13:13:34.314,2024-02-26 13:18:13.859
377316,311810913,Madrid,2024-02-27,Equipment failure,2024-02-27 07:33:16.92,2024-02-27 07:40:28.589
377316,311810914,Madrid,2024-02-27,Equipment failure,2024-02-27 07:33:16.92,2024-02-27 07:40:28.596
377316,312499105,Madrid,2024-03-05,Equipment failure,2024-03-05 11:30:21.046,2024-03-05 12:02:17.487
377316,312773599,Madrid,2024-03-12,Equipment failure,2024-03-12 09:34:04.382,2024-03-12 09:47:20.16
377316,313431744,Madrid,2024-03-14,Equipment failure,2024-03-14 08:05:07.35,2024-03-14 08:10:15.026
377316,313465248,Madrid,2024-03-14,Refused delivery,2024-03-14 13:13:47.659,2024-03-14 13:22:57.228
382413,307980976,Madrid,2024-01-24,Late / Unresponsive,2024-01-24 12:15:38.903,2024-01-24 12:25:44.824
382413,308102924,Madrid,2024-01-26,Late / Unresponsive,2024-01-26 11:37:01.398,2024-01-26 11:51:07.46
382413,308881329,Madrid,2024-02-01,Late / Unresponsive,2024-02-01 11:30:10.165,2024-02-01 11:41:09.022
382413,311367446,Madrid,2024-02-23,Late / Unresponsive,2024-02-23 10:56:40.26,2024-02-23 11:09:11.537
