Timestamp,ID Pedido,Justificado,Como se ha justificado
2/9/2024 13:25:47,302847675,SI,foto
2/9/2024 13:27:13,305995163,SI,cancelado por el cliente
2/9/2024 13:27:28,304644420,SI,fin de turno
2/9/2024 13:30:19,307418410,SI,explicación
2/9/2024 13:31:33,307418029,SI,explicación
2/9/2024 13:34:58,308445064,NO,
2/9/2024 13:43:19,302793815,NO,
2/9/2024 13:43:58,303819819,NO,
2/9/2024 13:44:46,304500492,NO,
2/9/2024 13:45:52,304644951,NO,
2/9/2024 13:48:51,303696064,SI,No estaba el paquete
2/9/2024 13:49:59,304137573,NO,
2/9/2024 13:51:36,305213314,NO,Accidente
2/9/2024 13:52:36,306065662,NO,
2/9/2024 13:53:12,307197304,NO,
2/9/2024 13:54:11,307653246,SI,Fin de turno
2/9/2024 13:54:44,308854587,NO,
2/14/2024 10:28:39,305995163,SI,Justificado con una foto
2/14/2024 10:42:46,305100452,SI,Tuvo un accidente
2/14/2024 10:43:46,305357962,SI,Tuvo un accidente
2/14/2024 10:49:35,305894435,NO,
2/14/2024 10:55:32,306425487,NO,
2/14/2024 11:00:32,306466997,NO,
2/14/2024 11:17:06,306487361,SI,Fué asignado fuera de su horario
2/14/2024 11:26:47,303500881,NO,Mandó una foto que no se ve la avería
2/14/2024 11:30:38,310408376,SI,Foto
2/14/2024 11:35:00,303501647,NO,
2/14/2024 11:41:34,303636668,NO,
2/14/2024 11:44:05,303636204,NO,
2/14/2024 11:57:40,303639393,NO,
2/14/2024 12:01:43,309839139,NO,
2/14/2024 12:06:32,304002803,SI,Repostaje
2/14/2024 12:07:56,305075946,NO,
2/14/2024 12:09:40,303643744,NO,
2/14/2024 12:16:52,303738047,NO,
2/14/2024 12:18:14,307646274,SI,Madrid Central
2/14/2024 12:19:18,303396790,NO,
2/14/2024 12:19:59,309239289,SI,Pedido grande
2/14/2024 12:20:42,305086693,NO,
2/14/2024 12:20:47,309353151,SI,Repostaje
2/14/2024 12:21:22,303396412,NO,
2/14/2024 12:21:37,305759252,NO,
2/14/2024 12:22:33,303501832,SI,Fin de turno
2/14/2024 12:22:50,305849963,NO,
2/14/2024 12:23:32,309406965,NO,
2/14/2024 12:25:12,303630553,NO,
2/14/2024 12:25:57,303693998,SI,Km excesivo
2/14/2024 12:27:29,305847518,NO,
,,,
2/14/2024 12:31:30,305857389,SI,Foto de calle cortada por la Cabalgata de Reyes
2/14/2024 12:32:06,304905363,NO,
2/14/2024 12:33:24,305857390,NO,
2/14/2024 12:35:16,305837739,NO,
2/14/2024 12:35:27,305005626,NO,
2/14/2024 12:37:42,306033540,NO,
2/14/2024 12:38:56,306033964,NO,
2/14/2024 12:40:13,306641880,NO,
2/14/2024 12:42:19,305277627,NO,
2/14/2024 12:43:45,306674367,NO,
2/14/2024 12:43:57,305888467,NO,
2/14/2024 12:44:46,306674365,NO,
2/14/2024 12:48:23,304242049,SI,Carretera cerrada
2/14/2024 12:53:24,304131835,SI,Accidente
2/14/2024 12:54:38,304132238,SI,Accidente
2/14/2024 12:56:13,307356507,SI,Con una foto de la avería
2/14/2024 12:56:40,304431157,SI,foto
2/14/2024 12:57:06,305888966,NO,
2/14/2024 12:57:23,307508244,NO,
2/14/2024 12:58:23,307513923,NO,
2/14/2024 12:59:14,309360538,SI,Termina su horario a las 22:00 y le dieron un pedido a las 22:09
2/14/2024 12:59:30,308293875,NO,
2/14/2024 13:00:17,308429857,NO,
2/14/2024 13:00:55,306438311,SI,Fallo de equipo
2/14/2024 13:01:06,309952276,NO,
2/14/2024 13:01:36,306127073,SI,accidente
2/14/2024 13:02:22,309953831,NO,
2/14/2024 13:02:37,307234725,SI,Pedido grande y pesado.
2/14/2024 13:03:07,306879873,SI,Fallo de app
2/14/2024 13:05:59,304067664,SI,Foto del paquete grande
2/14/2024 13:06:15,304941121,NO,
2/14/2024 13:07:57,308967387,NO,
2/14/2024 13:08:30,305889217,NO,
2/14/2024 13:10:12,308143884,NO,
2/14/2024 13:12:34,308352848,NO,
2/14/2024 13:13:58,308530242,NO,
2/14/2024 13:15:51,306127228,SI,accidente
2/14/2024 13:16:16,308948790,NO,
2/14/2024 13:16:16,307177493,SI,Estaba haciendo feedback. Lo revisé en el historial y sí había asistido a esa mismo día y hora.
2/14/2024 13:17:29,309083871,NO,
2/14/2024 13:17:46,306127228,NO,
2/14/2024 13:18:31,309830768,NO,
2/14/2024 13:19:20,306127228,NO,
2/14/2024 13:19:33,309357841,NO,
2/14/2024 13:20:00,309011348,NO,
2/14/2024 13:20:54,307423633,NO,
2/14/2024 13:21:40,309991575,NO,
2/14/2024 13:21:48,309711401,SI,Foto
2/14/2024 13:22:29,309728358,NO,
2/14/2024 13:22:56,310195486,NO,
2/14/2024 13:24:11,309986406,NO,
2/14/2024 13:27:27,306441888,SI,Pedido fuera de horario
2/14/2024 13:28:38,309711403,SI,Foto
2/14/2024 13:35:39,306402773,SI,El pedido está lejos. Lo comprobé en el google maps.
2/14/2024 13:37:27,304493264,NO,
2/14/2024 13:41:36,307577136,NO,
2/14/2024 13:42:33,307642779,NO,
2/14/2024 13:43:25,307645837,NO,
2/14/2024 13:43:35,306067168,SI,Termina el horario a las 15:00 y le vino un pedido a las 15.12.
2/14/2024 13:45:14,306067170,SI,Termina el horario a las 15:00 y le vino un pedido a las 15:12.
