"driver_id","week","transport_type","tenure","deliveries_invoiced","e2e_invoiced","client_price_invoiced","driver_earnings_invoiced","deliveries_not_invoiced","e2e_not_invoiced","distance_to_pu_invoiced","distance_to_do_invoiced","deliveries_succeeded","e2e_succeeded","client_price_succeeded","driver_earnings_succeeded","distance_to_pu_succeeded","distance_to_do_succeeded","performance_deliveries","picking_time","wapu","delivering_time","wado","distance_to_pu","distance_to_do","assigned_hours","online_hours","extra_time","no_laborable_retribuido","no_disponible","assigned_shifts","is_in_area_begin","no_shows","invitations","non_commit","lack_equipment","late_unresponsive","refused_delivery","equipment_failure"
589766,3.0,bike,77,48,95896,258.01,0.0,0,0,73805,80009,46,93371,248.21,0.0,70657,77038,45,28603,9991,30197,22838,69640,76599,30.25,29.51,0.49,0.00,0.00,11,9,1,43,0,,,,
589766,4.0,bike,77,42,72415,211.55,0.0,0,0,55515,61338,37,65018,187.60000000000002,0.0,48324,52270,37,19648,7871,21706,16092,48324,52270,24.00,23.56,0.42,6.00,0.00,8,8,0,40,0,,,,
589766,5.0,bike,77,53,87953,279.47,0.0,8,3931,64609,80660,50,84728,264.19,0.0,62086,78864,49,25549,9839,27473,21286,61350,76873,30.00,29.74,0.65,0.00,0.00,10,10,0,51,0,,,,
589766,6.0,bike,77,49,94223,268.12,0.0,1,562,76351,80382,46,89592,252.72,0.0,71269,74620,44,27975,8529,27971,23182,69661,71795,30.00,29.65,1.08,0.00,0.00,10,9,0,45,0,,,,
589766,7.0,bike,77,51,93646,277.49,0.0,0,0,68521,74782,49,89389,265.69000000000005,0.0,64473,70818,49,27876,11727,28283,23394,65115,71103,30.00,29.60,0.52,0.00,0.00,10,10,0,47,0,,,,
589766,51.0,bike,77,26,50780,139.87,0.0,0,0,40535,48589,24,47482,129.92000000000002,0.0,34525,45358,24,14305,5157,16433,12112,34525,45358,18.00,17.43,0.20,0.00,0.00,6,5,0,23,0,,,,
589766,52.0,bike,77,40,70220,212.55,0.0,3,2592,52191,59883,35,63622,185.75,0.0,44407,51692,34,19395,6990,18816,16441,43218,49877,30.00,25.79,0.63,0.00,0.00,10,8,1,36,1,,,,1
589887,1.0,bike,77,6,10465,30.45,0.0,0,0,6382,8229,5,9451,25.4,0.0,6367,7414,5,3440,1803,2850,1358,6367,7414,15.00,14.91,0.33,0.00,0.00,5,0,0,6,0,,,,
589887,2.0,bike,77,3,3876,17.45,0.0,1,66,2656,3114,2,2182,12.4,0.0,1412,1607,2,1067,261,557,297,1412,1607,15.00,14.80,0.28,0.00,0.00,5,0,0,3,0,,,,
589887,3.0,bike,77,1,2513,5.05,0.0,0,0,1940,1810,1,2513,5.05,0.0,1940,1810,1,1320,326,687,180,1940,1810,15.00,14.59,0.00,0.00,0.00,5,0,0,1,0,,,,
589887,4.0,bike,77,1,1121,6.2,0.0,0,0,676,1168,1,1121,6.2,0.0,676,1168,1,567,41,316,197,676,1168,15.00,14.88,0.00,0.00,0.00,5,1,0,1,0,,,,
589887,5.0,bike,77,2,3972,10.9,0.0,0,0,2721,3674,1,2490,5.45,0.0,1366,1259,1,1298,314,834,44,1366,1259,15.00,14.94,0.00,0.00,0.00,5,0,0,2,0,,,,
589887,6.0,bike,77,1,2825,5.05,0.0,2,2348,1537,998,1,2825,5.05,0.0,1537,998,1,1807,71,498,449,1537,998,15.00,5.97,0.00,0.00,0.00,5,0,3,3,2,,2,,
589887,7.0,bike,77,0,0,0.0,0.0,1,1374,0,0,0,0,0.0,0.0,0,0,,,,,,,,15.00,7.87,0.00,0.00,0.00,5,0,2,1,1,,,,1
589887,51.0,bike,77,2,4593,10.25,0.0,0,0,4809,1819,2,4593,10.25,0.0,4809,1819,2,3320,206,715,352,4809,1819,12.00,11.52,0.00,3.00,0.00,4,0,0,2,0,,,,
589887,52.0,bike,77,1,2267,5.05,0.0,1,1024,1540,1685,1,2267,5.05,0.0,1540,1685,1,1192,140,887,48,1540,1685,12.00,3.87,0.00,3.00,0.00,4,0,2,2,1,,,,1
589907,1.0,bike,77,38,83108,220.61999999999998,0.0,2,2711,59977,81894,37,82855,215.21999999999997,0.0,55746,78595,37,27082,7945,36080,11929,55746,78595,30.00,29.56,1.42,0.00,0.00,10,9,0,37,0,,,,
589907,2.0,bike,77,39,68330,210.08,0.0,1,27,55549,68749,39,68330,210.08,0.0,55549,68749,39,23550,5609,29312,11160,55549,68749,30.00,29.23,0.35,0.00,0.00,10,10,0,35,0,,,,
589907,3.0,bike,77,41,76716,224.26,0.0,3,2231,50965,74971,41,76716,224.26,0.0,50965,74971,41,25300,5811,32986,13401,50965,74971,30.00,29.96,2.02,0.00,0.00,10,10,0,42,2,,1,1,
589907,4.0,bike,77,32,63926,166.30000000000004,0.0,0,0,44622,48151,31,60364,161.35000000000002,0.0,42648,45984,31,23919,6566,22853,8463,42455,45983,30.25,29.91,0.92,0.00,0.00,11,6,1,31,0,,,,
589907,5.0,bike,77,37,74236,203.04999999999998,0.0,1,332,50459,59260,36,70675,196.79999999999998,0.0,48395,56942,36,26473,6191,28326,11621,49871,57217,30.00,29.94,1.03,0.00,0.00,10,9,0,36,0,,,,
589907,6.0,bike,77,22,48276,121.87,0.0,1,212,36140,36324,21,45836,116.32,0.0,35401,35094,21,20058,6531,14117,5753,35401,35094,24.00,24.81,0.40,6.00,0.00,8,8,1,22,1,,,1,
589907,7.0,bike,77,27,57548,150.7,0.0,1,605,40124,37440,27,57548,150.7,0.0,40124,37440,27,23476,5695,20335,8102,40124,37440,30.00,29.94,0.95,0.00,0.00,10,10,0,26,1,,,1,
589907,51.0,bike,77,28,46824,146.05,0.0,0,0,42779,38999,26,45142,136.35,0.0,39038,38152,26,14706,8422,11634,10881,39038,38152,24.00,22.90,0.33,0.00,0.00,7,4,0,27,0,,,,
590533,1.0,bike,77,46,79350,255.3,0.0,3,1915,83535,78674,45,78790,250.2,0.0,82162,76286,44,29139,7542,28881,11952,79795,73750,30.00,29.18,0.73,0.00,0.00,10,5,0,45,0,,,,
590533,3.0,bike,77,48,77063,247.57,0.0,5,2545,68520,72507,47,75440,243.22000000000003,0.0,66133,71251,44,25774,6259,24284,13888,62904,65492,30.25,27.37,1.18,0.00,0.00,11,4,1,42,2,,2,,
590533,4.0,bike,77,44,69576,232.91000000000003,0.0,4,4933,68891,71962,43,69008,227.51000000000002,0.0,67903,70139,42,24673,8016,23173,12036,65512,69016,30.00,26.22,0.11,0.00,0.00,10,7,0,44,1,,1,,
590533,5.0,bike,77,40,62502,197.26,0.0,3,707,60265,56270,38,59387,187.66000000000003,0.0,55662,53558,37,22708,6352,18784,11851,54500,51855,24.00,23.70,0.24,5.98,0.00,8,5,0,40,1,,,1,
590533,6.0,bike,77,39,69983,201.61999999999998,0.0,2,160,55794,63797,37,66798,191.51999999999998,0.0,54412,60522,37,21667,9868,24023,12155,53475,60521,24.00,23.72,0.71,6.00,0.00,8,7,0,34,0,,,,
590533,7.0,bike,77,40,73205,211.0,0.0,2,605,60631,65946,40,73205,211.0,0.0,60631,65946,37,21737,12540,24336,11638,57435,60685,30.00,28.56,0.31,0.00,0.00,10,8,0,38,0,,,,
590533,51.0,bike,77,28,51392,151.6,0.0,1,1467,45440,45194,28,51392,151.6,0.0,45440,45194,27,15994,8848,13981,8603,43376,42530,24.00,22.62,0.35,0.00,0.00,7,5,0,29,1,,1,,
590533,52.0,bike,77,36,60157,199.66,0.0,5,4746,63820,58646,36,60157,199.66,0.0,63820,58646,36,23893,6739,20432,9293,63820,58646,30.00,28.25,0.39,0.00,0.00,9,5,0,39,4,,1,4,
591459,1.0,motorbike,76,21,34089,122.63000000000001,9.1,1,246,48153,54019,19,31418,112.33,9.1,44424,48364,19,12141,4686,10696,3947,44424,48364,30.00,28.80,0.00,0.00,0.00,10,1,0,18,0,,,,
591459,2.0,motorbike,76,15,23975,98.03,6.140000000000001,0,0,47435,37144,12,20908,82.67999999999999,6.140000000000001,38039,32632,11,8807,1853,6794,1421,34210,29349,30.00,28.98,0.21,0.00,0.00,10,0,0,14,0,,,,
591459,5.0,motorbike,76,4,6898,33.59,2.8999999999999995,1,490,7399,15333,4,6898,33.59,2.8999999999999995,7399,15333,4,1702,1174,3017,1005,7399,15333,30.00,29.36,0.12,0.00,0.00,10,0,0,5,0,,,,
591459,6.0,motorbike,76,4,7174,20.560000000000002,2.18,0,0,7816,11540,4,7174,20.560000000000002,2.18,7816,11540,4,2911,994,2614,655,7816,11540,30.00,29.20,0.00,0.00,0.00,10,3,0,4,0,,,,
591459,7.0,motorbike,76,7,8786,41.650000000000006,2.88,0,0,11251,23574,6,8652,36.25,2.88,9207,15117,4,2657,756,2700,399,7102,11554,27.00,26.65,0.18,6.00,0.00,9,3,0,7,0,,,,
591459,52.0,motorbike,76,11,15274,65.59,4.22,0,0,18892,31636,11,15274,65.59,4.22,18892,31636,9,4272,2512,3922,1247,14084,26427,24.00,17.46,0.00,6.00,0.00,8,0,2,11,0,,,,
591501,1.0,bike,76,28,59223,158.07999999999998,0.0,4,4312,42550,43585,26,57604,147.78,0.0,36519,42075,12,6490,5901,5608,10369,20950,21920,30.00,20.60,0.00,0.00,0.00,10,6,3,27,2,,,2,
