,driver_id,score_WAPU,score_WADO,score_PACE PU Succeded,score_PACE DO Succeded,score_PACE PU vs DO,score_Online Rate,score_Cancelations,score_IAB,Total_Score,mensaje
0,370425,0.06619816068020128,0.0060579689991678955,0.22834101316435962,0.2743500174584642,0.34267915014065403,0.9976666666666667,0.0,1.0,1.0800403562238197,¡Excelente trabajo!
1,465779,0.10361677568295495,0.04079433574096391,0.24337403789798684,0.20783816109201272,0.38140347451797457,1.0,0.0,1.0,1.022973215068107,¡Excelente trabajo!
2,440895,0.1254001129730747,0.032375276736901784,0.2581479901766157,0.22195235713508607,0.387956890889655,0.996,0.0,1.0,0.9701673720886665,¡Excelente trabajo!
3,427199,0.10621576064053939,0.013037273474990327,0.2569448766670696,0.2997734681651434,0.35612154438710913,0.9987499999999999,0.0,1.0,0.966657076665148,¡Excelente trabajo!
4,653770,0.11251229105211402,0.023843113331045603,0.25201119152237494,0.29520856005598733,0.3538742214994593,0.988,0.0,1.0,0.9505506225390188,¡Excelente trabajo!
5,144250,0.06415929203539823,0.005871811491973918,0.3186028277389232,0.3476832710320379,0.38782971297869595,1.0,0.0,1.0,0.8758530847229709,¡Excelente trabajo!
6,545148,0.6132743362831858,0.02829145537041979,0.16712693407767693,0.0,0.40109044867860105,0.9995828118481436,0.0,1.0,0.7897996374382599,¡Excelente trabajo!
7,476245,0.15718584070796457,0.01441186563465131,0.3036497112248651,0.39318244722086493,0.35749992495794397,1.0,0.0,1.0,0.77407021025371,¡Excelente trabajo!
8,524684,0.07035398230088494,0.01988408891600259,0.33838987425427375,0.4961742443215429,0.34524199482492035,0.998,0.0,1.0,0.7279558153823755,Bien hecho.
9,649163,0.10240904621435594,0.009738691679058473,0.3217011078605451,0.5106304496518246,0.3257896236568989,0.9975,0.0,1.0,0.727231080937317,Bien hecho.
10,634083,0.153025591963645,0.015919224978591277,0.31663454944740255,0.4747609077108565,0.3358413167081599,0.9991666666666666,0.0,1.0,0.7029850758580113,Bien hecho.
11,647176,0.1427791376388627,0.02419303154374775,0.3313050549826181,0.44932853531754885,0.35798481463252524,1.0,0.0,1.0,0.6944094258846973,Bien hecho.
12,283943,0.25522928399034595,0.058608928342409085,0.30507679165785156,0.21179201828110691,0.43057137514083926,0.98375,0.038461538461538464,1.0,0.6840100641259088,Bien hecho.
13,499936,0.11218115564809991,0.039326334110111036,0.352165658114705,0.31815431188464505,0.4271311986553911,0.9958333333333332,0.07692307692307693,1.0,0.6699515979973041,Bien hecho.
14,379780,0.036946902654867254,0.011591108399740724,0.396645777789829,0.2388418650109227,0.49514219273028265,0.97375,0.0,0.875,0.6695821534143577,Bien hecho.
15,681641,0.18322271386430675,0.033067068288405076,0.32050568351107345,0.49246644161048203,0.3320063846099717,1.0,0.0,1.0,0.6387317081157611,Bien hecho.
16,472716,0.11474206777466002,0.008896064100763781,0.265062912092145,0.3378632690008099,0.3476988809290692,0.9986666666666667,0.0,0.7,0.6244034727692188,Bien hecho.
17,694272,0.1328795098706603,0.017240013960950398,0.3239317289581036,0.48800361681889765,0.3365923884076463,0.8966666666666666,0.0,1.0,0.5980194086504084,Bien hecho.
18,485491,0.20086166744294362,0.028309516308023263,0.35189345666476746,0.4125521972341405,0.3894907304655287,0.9979166666666667,0.025,1.0,0.5898090985512632,Bien hecho.
19,649155,0.11842790213430501,0.021435027665696996,0.39590225146368563,0.5425554088007235,0.3741473737404424,0.9986666666666667,0.0,1.0,0.546198702861813,Bien hecho.
20,471342,0.08849557522123892,0.023258474091585,0.6107562816421209,0.03091244572748305,0.7536119217211158,0.998,0.0,1.0,0.4909653015964561,Bien hecho.
